hsa,gene_name,gene_concept
hsa00500,GPI,gene_2821
hsa00561,ALDH2,gene_217
hsa00561,ALDH7A1,gene_501
hsa00561,AKR1B1,gene_231
hsa00561,AKR1A1,gene_10327
hsa00561,GK,gene_2710
hsa00561,DGKB,gene_1607
hsa00561,CEL,gene_1056
hsa00561,PNPLA2,gene_57104
hsa00561,PNLIP,gene_5406
hsa00561,LIPC,gene_3990
hsa00561,LIPF,gene_8513
hsa00561,LPL,gene_4023
hsa00561,MGLL,gene_11343
hsa00561,GLA,gene_2717
hsa00562,PTEN,gene_5728
hsa00562,INPP5D,gene_3635
hsa00562,PIK3C2A,gene_5286
hsa00562,PLCB1,gene_23236
hsa00562,PLCG1,gene_5335
hsa00562,IMPA1,gene_3612
hsa00562,TPI1,gene_7167
hsa00564,GPD1,gene_2819
hsa00564,GNPAT,gene_8443
hsa00564,DGKB,gene_1607
hsa00564,CHPT1,gene_56994
hsa00564,LCAT,gene_3931
hsa00564,PLA2G1B,gene_5319
hsa00564,PLA2G2A,gene_5320
hsa00564,PLA2G4A,gene_5321
hsa00564,PLB1,gene_151056
hsa00564,LPCAT3,gene_10162
hsa00564,PNPLA6,gene_10908
hsa00564,CHAT,gene_1103
hsa00564,ACHE,gene_43
hsa00564,CHKA,gene_1119
hsa00564,PCYT1B,gene_9468
hsa00564,CDS1,gene_1040
hsa00564,TAFAZZIN,gene_6901
hsa00565,AGPS,gene_8540
hsa00565,CHPT1,gene_56994
hsa00565,PLA2G1B,gene_5319
hsa00565,PLA2G2A,gene_5320
hsa00565,PLA2G4A,gene_5321
hsa00565,PLB1,gene_151056
hsa00565,PLA2G7,gene_7941
hsa00590,PLA2G1B,gene_5319
hsa00590,PLA2G2A,gene_5320
hsa00590,PLA2G4A,gene_5321
hsa00590,PLB1,gene_151056
hsa00590,PTGES,gene_9536
hsa00590,PTGES3,gene_10728
hsa00590,CBR1,gene_873
hsa00590,HPGD,gene_3248
hsa00590,PTGDS,gene_5730
hsa00590,PTGIS,gene_5740
hsa00590,ALOX5,gene_240
hsa00590,LTA4H,gene_4048
hsa00590,CYP4F3,gene_4051
hsa00590,GGT1,gene_2678
hsa00590,GPX4,gene_2879
hsa00590,CYP2E1,gene_1571
hsa00590,CYP2C19,gene_1557
hsa00590,CYP2B6,gene_1555
hsa00590,EPHX2,gene_2053
hsa00590,ALOX15,gene_246
hsa00600,ASAH1,gene_427
hsa00600,DEGS1,gene_8560
hsa00600,SGMS1,gene_259230
hsa00600,SMPD1,gene_6609
hsa00600,SGPL1,gene_8879
hsa00600,GBA1,gene_2629
hsa00600,GLB1,gene_2720
hsa00600,GALC,gene_2581
hsa00600,ARSA,gene_410
hsa00600,NEU1,gene_4758
hsa00600,GLA,gene_2717
hsa00600,HEXA,gene_3073
hsa00600,HEXB,gene_3074
hsa00600,PSAP,gene_5660
hsa00620,PDHA1,gene_5160
hsa00620,DLD,gene_1738
hsa00620,ADH1A,gene_124
hsa00620,ADH1B,gene_125
hsa00620,ADH1C,gene_126
hsa00620,ADH5,gene_128
hsa00620,AKR1A1,gene_10327
hsa00620,PKM,gene_5315
hsa00620,PKLR,gene_5313
hsa00620,ACACA,gene_31
hsa00620,ALDH2,gene_217
hsa00620,ALDH7A1,gene_501
hsa00620,LDHA,gene_3939
hsa00620,LDHB,gene_3945
hsa00620,LDHC,gene_3948
