hsa,gene_name,gene_concept
hsa00230,ENTPD1,gene_953
hsa00230,CANT1,gene_124583
hsa00230,ENTPD4,gene_9583
hsa00230,ENTPD5,gene_957
hsa00230,ENTPD6,gene_955
hsa00230,NUDT16,gene_131870
hsa00230,ITPA,gene_3704
hsa00230,XDH,gene_7498
hsa00230,NUDT2,gene_318
hsa00230,GMPS,gene_8833
hsa00230,GMPR,gene_2766
hsa00230,GMPR2,gene_51292
hsa00230,GDA,gene_9615
hsa00230,GUK1,gene_2987
hsa00230,RRM1,gene_6240
hsa00230,RRM2B,gene_50484
hsa00230,RRM2,gene_6241
hsa00230,DGUOK,gene_1716
hsa00230,DCK,gene_1633
hsa00230,HDDC3,gene_374659
hsa00230,PRUNE1,gene_58497
hsa00230,ADCY1,gene_107
hsa00230,ADCY2,gene_108
hsa00230,ADCY3,gene_109
hsa00230,ADCY4,gene_196883
hsa00230,ADCY5,gene_111
hsa00230,ADCY6,gene_112
hsa00230,ADCY7,gene_113
hsa00230,ADCY8,gene_114
hsa00230,ADCY9,gene_115
hsa00230,ADCY10,gene_55811
hsa00230,GUCY1A1,gene_2982
hsa00230,GUCY1B1,gene_2983
hsa00230,GUCY2C,gene_2984
hsa00230,GUCY2D,gene_3000
hsa00230,GUCY2F,gene_2986
hsa00230,NPR1,gene_4881
hsa00230,NPR2,gene_4882
hsa00230,PDE1A,gene_5136
hsa00230,PDE1B,gene_5153
hsa00230,PDE1C,gene_5137
hsa00230,PDE2A,gene_5138
hsa00230,PDE3A,gene_5139
hsa00230,PDE3B,gene_5140
hsa00230,PDE5A,gene_8654
hsa00230,PDE6A,gene_5145
hsa00230,PDE6B,gene_5158
hsa00230,PDE6C,gene_5146
hsa00230,PDE6D,gene_5147
hsa00230,PDE6G,gene_5148
hsa00230,PDE6H,gene_5149
hsa00230,PDE9A,gene_5152
hsa00230,PDE10A,gene_10846
hsa00230,PDE11A,gene_50940
hsa00230,ADSS1,gene_122622
hsa00230,ADSS2,gene_159
hsa00230,AMPD2,gene_271
hsa00230,AMPD3,gene_272
hsa00230,AMPD1,gene_270
hsa00230,ADK,gene_132
hsa00230,ADA,gene_100
hsa00230,ADA2,gene_51816
hsa00230,AK7,gene_122481
hsa00230,AK4,gene_205
hsa00230,AK5,gene_26289
hsa00230,AK2,gene_204
hsa00230,AK1,gene_203
hsa00230,AK6,gene_102157402
hsa00230,AK3,gene_50808
hsa00230,ENTPD2,gene_954
hsa00230,NTPCR,gene_84284
hsa00230,ENPP1,gene_5167
hsa00230,ENPP3,gene_5169
hsa00230,PDE4A,gene_5141
hsa00230,PDE4B,gene_5142
hsa00230,PDE4C,gene_5143
hsa00230,PDE4D,gene_5144
hsa00230,PDE7A,gene_5150
hsa00230,PDE7B,gene_27115
hsa00230,PDE8B,gene_8622
hsa00230,PDE8A,gene_5151
hsa00230,FHIT,gene_2272
hsa00230,ENPP4,gene_22875
hsa00230,PAPSS2,gene_9060
hsa00230,PAPSS1,gene_9061
hsa00230,ALLC,gene_55821
hsa00232,CYP1A2,gene_1544
hsa00232,NAT2,gene_10
hsa00232,NAT1,gene_9
hsa00232,CYP2A6,gene_1548
hsa00232,CYP2A7,gene_1549
hsa00232,XDH,gene_7498
hsa00240,DHODH,gene_1723
hsa00240,UMPS,gene_7372
hsa00240,CMPK1,gene_51727
hsa00240,CMPK2,gene_129607
hsa00240,NME6,gene_10201
hsa00240,NME7,gene_29922
hsa00240,NME2,gene_4831
hsa00240,NME4,gene_4833
hsa00240,NME1,gene_4830
hsa00240,NME3,gene_4832
hsa00240,ENTPD3,gene_956
hsa00240,ENTPD8,gene_377841
hsa00240,ENTPD1,gene_953
hsa00240,CANT1,gene_124583
hsa00240,ENTPD4,gene_9583
hsa00240,ENTPD5,gene_957
hsa00240,ENTPD6,gene_955
hsa00240,ENPP1,gene_5167
hsa00240,ENPP3,gene_5169
hsa00240,NUDT2,gene_318
hsa00240,CTPS1,gene_1503
hsa00240,CTPS2,gene_56474
hsa00240,UCK1,gene_83549
hsa00240,UCK2,gene_7371
hsa00240,UCKL1,gene_54963
hsa00240,NT5C2,gene_22978
hsa00240,NT5C1A,gene_84618
hsa00240,NT5C1B,gene_93034
